,MSFT_Return_t+1,MSFT_Return_t+2,MSFT_Return_t+3,MSFT_Return_t+4,MSFT_Return_t+5
MSFT_Return,0.0017324781976881041,-0.008899418694282499,-0.02672671684807224,-0.03690123937543799,-0.05001028202063814
MSFT_Return_lag1,-0.01281038695577531,-0.026369770702882895,-0.03858077758501495,-0.05157420527786263,-0.07197956495469347
MSFT_Return_lag2,-0.026062302836547268,-0.041093850956903745,-0.0527397528392981,-0.07474993806739962,-0.0780410160281154
MSFT_Return_lag3,-0.03228573023867259,-0.047063796352292964,-0.07089271261070061,-0.07367235840384631,-0.08966966233370824
MSFT_Return_lag5,-0.05098871970965307,-0.053680194799176684,-0.07265918465460458,-0.08008092106760724,-0.056275758132988046
MSFT_Return_cum3,-0.021453897230612747,-0.0441056817130079,-0.06817578761560507,-0.09426714313203602,-0.11552323014845345
MSFT_Return_cum5,-0.04665327899070905,-0.08352993418791158,-0.11516250980061385,-0.14481176930188974,-0.17230341506010638
MSFT_Return_cum10,-0.08017321193919583,-0.1016474811296163,-0.11909187819441197,-0.12999873943531287,-0.13069350715156436
MSFT_Volume_Log,-0.0016046832746148577,-0.0026321259439462275,-0.01191411184924675,-0.011463478548789978,-0.01412166772793567
MSFT_Volume_Change,8.59868005336379e-05,0.005116274225087433,-0.004949438150768125,-0.0008609236027697774,0.0018344656874362875
MSFT_Volume_Ratio_20,-0.004067916303454346,-0.0022143581654342514,-0.016603529120784707,-0.020503134823864705,-0.01989995021878059
MSFT_Volume_MA10_Ratio,-0.003919622677870722,-0.005313758748125475,-0.009400416528166424,-0.005064928479905683,-0.007251758998704747
MSFT_SMA_10,0.0038414073566571537,0.0022914145611486144,-0.0002553037840702997,0.0016923212233633997,0.0017886335683060574
MSFT_SMA_20,0.0057070777192785496,0.004482036343372636,0.002149096922549289,0.004022733830996511,0.003972660058095993
MSFT_SMA_50,0.008258219143556234,0.008266642139630263,0.007124928574923692,0.009908679209880653,0.010744949423082729
MSFT_EMA_10,0.002555547745197154,0.0002921426841095261,-0.0027151424931839744,-0.001070147320755203,-0.0011468435783762935
MSFT_EMA_20,0.004694363400332256,0.0032444733597207258,0.0008513188581721699,0.0028216824570222376,0.002949629723004537
MSFT_Volatility_10,-0.005382940247664068,-0.008617793951623648,-0.01019883108871916,-0.006276409084724213,0.0050021377662791
MSFT_Volatility_20,-0.012593364122979633,-0.016595632404807614,-0.016258080788809692,-0.016279888794181633,-0.01306854628077192
MSFT_Volatility_Ratio_10_20,0.01160965909656879,0.014987863932027825,0.01127779816430599,0.012885750568037377,0.02155305026933855
MSFT_RSI_14,-0.05968541264965983,-0.08622386713537254,-0.10980049874886956,-0.12460685798021529,-0.1396103566655845
MSFT_MACD,-0.05161319707758757,-0.07235589902462466,-0.08881226364060701,-0.09678009597054929,-0.102835680852465
MSFT_MACD_Signal,-0.03624070469840968,-0.05059234817252971,-0.06260070893647793,-0.06826325269937614,-0.07365322694909102
MSFT_MACD_Hist,-0.05550728238288344,-0.07840986766222996,-0.09484186262381716,-0.1032213765872918,-0.10655616796597782
MSFT_Price_SMA_Ratio,-0.06329150287472468,-0.0933665377396941,-0.11742730246697984,-0.13183401431481848,-0.14214092021385116
MSFT_Price_ZScore_20,-0.046366101385003786,-0.071808914041032,-0.09213922678550976,-0.11275609619931816,-0.12840195010942768
MSFT_DOW_sin,0.020401377225933687,0.047096083302941995,0.035348202947278244,0.011302527598796568,-0.002244903870494671
MSFT_DOW_cos,-0.0368172702896017,-0.005898749405484918,0.008102875456725842,0.012066620114643092,-0.013626736955896383
MSFT_Month_sin,-0.02001462268209114,-0.027579434426496675,-0.03655756855817578,-0.04556382309057301,-0.05206623595101894
MSFT_Month_cos,0.012896615001839981,0.01287390132338885,0.009937898567832134,0.007864534432365467,0.00317864074180959
